Date,Open,High,Low,Close,Volume
2019-08-12,267.9998059605808,269.52483719635546,265.28246526862335,266.2529602050781,65527600
2019-08-13,265.9479649843269,271.8725061928378,265.5967398202968,270.3936767578125,94299800
2019-08-14,266.2529079195418,266.8721494009527,262.2693297825435,262.3987121582031,135622100
2019-08-15,263.30460158930725,264.0070519723174,261.0031909062617,263.0920104980469,99556600
2019-08-16,264.7834345571621,267.4175671147897,263.1474675341784,266.97393798828125,83018300
2019-08-19,270.06089471379966,270.88347559833613,269.3676962150729,270.1902770996094,53571800
2019-08-20,269.67272264864397,270.21803547992437,267.99058219868436,268.1199645996094,51596400
2019-08-21,270.3289658280825,270.6801627418428,269.62651558791805,270.3012390136719,49524700
2019-08-22,271.02209035383777,271.66905858211317,268.40640601495784,270.21795654296875,51666400
2019-08-23,268.88708769764935,270.58773128981886,262.00130468788683,263.27679443359375,149161500
2019-08-26,265.513509039586,266.188232421875,263.9514994469937,266.188232421875,72423800
2019-08-27,267.6115978841483,267.99054977997383,264.36741989752596,265.143798828125,66668900
2019-08-28,264.46916635488463,267.1772556843056,263.64655707248454,267.0108947753906,59696700
2019-08-29,269.6265020903107,270.95744552803586,268.600553595834,270.4213562011719,57899400
2019-08-30,271.93717747654125,271.95565261737437,269.349247443812,270.3012390136719,62901200
2019-09-03,268.5636854246798,269.4971738860517,267.3621240115968,268.7207946777344,69101400
2019-09-04,270.9389803606656,271.78928812886954,270.1718248282696,271.77081298828125,46887300
2019-09-05,274.31253483146344,276.19801455642005,271.7338283584552,275.2645263671875,83258100
2019-09-06,275.5880167556322,276.1333295413922,274.89481823378685,275.4770812988281,49584300
2019-09-09,276.4845642746592,276.57696818240294,274.6545099589323,275.6157531738281,51260300
2019-09-10,274.8393539948406,275.6157612105673,273.5546406527384,275.5510559082031,57947100
2019-09-11,275.8653078794628,277.59367849167245,275.1998361147611,277.510498046875,68821100
2019-09-12,278.43470120699857,279.5530534368997,277.6583223543661,278.4716796875,72908700
2019-09-13,278.9245489819884,279.28502568803856,277.90785235682563,278.28680419921875,62104800
2019-09-16,277.131535643244,278.3330967263765,276.7710870627292,277.42730712890625,58191200
2019-09-17,277.2239407154977,278.2221341243338,277.04832817591154,278.1297302246094,41475500
2019-09-18,277.7322959156255,278.4070193136276,275.65270030139976,278.2961120605469,73375800
2019-09-19,278.6935488280659,279.71024569392466,277.935644963851,278.2776184082031,76560500
2019-09-20,278.894135083547,279.18200635925757,276.15497996330237,276.9627990722656,89565000
2019-09-23,276.28493104771906,277.6313149800778,276.02494298989626,276.89776611328125,43476800
2019-09-24,278.012051165294,278.41131352900214,273.74079397091356,274.72503662109375,94869400
2019-09-25,274.8086074687992,276.80494766956235,273.2950942070547,276.3499755859375,71854000
2019-09-26,276.35927229693243,276.5728167445471,274.33507722382893,275.7742919921875,56179700
2019-09-27,276.5449635832514,276.6564113430198,272.7008518002831,274.28863525390625,84746600
2019-09-30,274.81782360438405,276.2848927983001,274.7714083041381,275.5606384277344,51662400
2019-10-01,276.46135673445804,277.1299015079343,272.06012017207405,272.282958984375,88242400
2019-10-02,270.6673612560453,270.6766556534673,266.1547046150489,267.47320556640625,122539500
2019-10-03,267.24103481263387,269.69237511545055,264.4647306845906,269.6645202636719,85278800
2019-10-04,270.33319778807595,273.57376992807195,270.27745972057534,273.31378173828125,65091200
2019-10-07,272.4965408327126,274.15862259413046,271.8465564930416,272.1343994140625,59610500
2019-10-08,270.24026445409186,270.99237395111913,267.87248819525286,267.9096374511719,95708100
2019-10-09,269.97099989155873,271.41021486761196,269.3303097831011,270.4538269042969,62359400
2019-10-10,270.37018361459616,273.18363696618917,270.20305450537046,272.282958984375,55296300
2019-10-11,275.0965100440212,277.38998809045455,274.9758245355423,275.1058044433594,98720400
2019-10-14,274.7807581288077,275.46789180327613,274.44649985737254,274.7993469238281,40394800
2019-10-15,275.8671708245088,278.2813623868388,275.74645699590536,277.51995849609375,46754500
2019-10-16,277.04636389575353,277.77991283967873,276.6285410820564,277.07421875,48928200
2019-10-17,278.2627038409228,278.782679944123,277.18560238813035,277.89129638671875,45736600
2019-10-18,277.3434409333739,278.00269123159336,275.8020732148419,276.6748962402344,64304000
2019-10-21,278.02135588450045,278.75487653252515,277.57564985526534,278.55059814453125,39048600
2019-10-22,279.0984307609045,279.39556811539023,277.5477965522291,277.6406555175781,48594700
2019-10-23,277.3807094239218,278.5042265660338,277.1671366049327,278.4485168457031,34352200
2019-10-24,279.404858118549,279.55342679345523,278.0584739836079,278.9034423828125,35453100
2019-10-25,278.3185069321153,280.6027187982548,278.2627972121199,280.04559326171875,45205400
2019-10-28,281.28979566905184,282.1347641186125,281.26194081188294,281.6240539550781,42147000
